subject_id	subject_category	predicate_id	object_id	object_category	mapping_justification	author_id	author_label	creator_id	creator_label	subject_type	object_type	object_source	mapping_date	object_match_field	comment
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-Country	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1269	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Country	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Biotope	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1270	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Biotope	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-NamedArea-AreaName	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1271	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-NearNamedPlace	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1272	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/AreaDetail	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-AreaDetail	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1273	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace	2024-06-26		
mids:QuantitativeLocation	mids2	https://www.w3.org/TR/2004/REC-owl-semantics-20040210/#owl_intersectionOf	http://rs.tdwg.org/abcd2/terms/Gathering-LatitudeDecimal	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1274	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal	2024-06-26	http://rs.tdwg.org/abcd2/terms/Gathering-LatitudeDecimal | http://rs.tdwg.org/abcd2/terms/Gathering-LongitudeDecimal	All properties in object_match_field need to be present
mids:QuantitativeLocation	mids2	https://www.w3.org/TR/2004/REC-owl-semantics-20040210/#owl_intersectionOf	http://rs.tdwg.org/abcd2/terms/Gathering-LongitudeDecimal	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1275	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal	2024-06-26		
mids:QuantitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-GML	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1276	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/GML	2024-06-26		
mids:QuantitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-WFS	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1277	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/WFS	2024-06-26		WMS URL with center coordinate given
mids:QuantitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-WMSURL	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1278	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/WMSURL	2024-06-26		
mids:GeologicalAge	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/PalaeontologicalUnit-TimeRange	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1279	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/PalaeontologicalUnit/TimeRange	2024-06-26		
mids:GeologicalAge	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-ChronostratigraphicTerm	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1280	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Stratigraphy/ChronostratigraphicTerms/ ChronostratigraphicTerm	2024-06-26		
