sssom:subject_id	sssom:subject_label	sssom:subject_category	sssom:predicate_id	sssom:object_id	sssom:object_label	sssom:object_category	sssom:mapping_justification	sssom:author_id	sssom:author_label	sssom:reviewer_id	sssom:reviewer_label	sssom:creator_id	sssom:creator_label	sssom:subject_type	sssom:object_type	sssom:mapping_date	sssom:object_match_field	sssom:comment	semapv:RegexRemoval
mids:Chronostratigraphy	Chronostratigraphy	mids:MIDS1	skos:narrowMatch	dwc:latestEpochOrHighestSeries	Latest Epoch Or Highest Series	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13			
mids:Chronostratigraphy	Chronostratigraphy	mids:MIDS1	skos:narrowMatch	dwc:latestEraOrHighestErathem	Latest Era Or Highest Erathem	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13			
mids:Chronostratigraphy	Chronostratigraphy	mids:MIDS1	skos:narrowMatch	dwc:latestPeriodOrHighestSystem	Latest Period Or Highest System	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13			
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:bed	Bed	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:formation	Formation	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:group	Group	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:member	Member	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:highestBiostratigraphicZone	Highest Biostratigraphic Zone	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:lowestBiostratigraphicZone	Lowest Biostratigraphic Zone	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:lithostratigraphicTerms	Lithostratigraphic Terms	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5819-9134	Ben Norton	rdf property	rdf property	2023-09-18			
