sssom:subject_id	sssom:subject_label	sssom:subject_category	sssom:predicate_id	sssom:object_id	sssom:object_label	sssom:object_category	sssom:mapping_justification	sssom:author_id	sssom:author_label	sssom:reviewer_id	sssom:reviewer_label	sssom:creator_id	sssom:creator_label	sssom:subject_type	sssom:object_type	sssom:mapping_date	sssom:object_match_field	sssom:comment	semapv:RegexRemoval
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:islandGroup	Island Group	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:stateProvince	State Province	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:waterBody	Water Body	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:higherGeography	Higher Geography	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0001-9144-2848	Elspeth Haston			orcid:0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	skos:exactMatch	dwc:locationID	Location ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	owl:intersectionOf	dwc:decimalLatitude	Decimal Latitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	owl:intersectionOf	dwc:decimalLongitude	Decimal Longitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09	dwc:decimalLatitude | dwc:decimalLongitude	All properties in object_match_field need to be present	|unknown:undigitized|unknown|Unknown
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	skos:narrowMatch	dwc:footprintWKT	Footprint WKT	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectingAgent	Collecting Agent	mids:MIDS2	skos:narrowMatch	dwc:recordedBy	Recorded By	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1282	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectingAgent	Collecting Agent	mids:MIDS2	skos:narrowMatch	dwc:recordedByID	Recorded By ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1283	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectionDate	Collection Date	mids:MIDS2	skos:narrowMatch	dwc:eventDate	Event Date	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1284	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectionDate	Collection Date	mids:MIDS2	skos:narrowMatch	dwc:year	Year	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1285	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectionDate	Collection Date	mids:MIDS2	skos:narrowMatch	dwc:verbatimEventDate	Verbatim Event Date	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1286	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectorNumber	Collector Number	mids:MIDS2	skos:narrowMatch	dwc:fieldNumber	Field Number	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1287	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:CollectorNumber	Collector Number	mids:MIDS2	skos:narrowMatch	dwc:recordNumber	Record Number	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1288	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Media	Media	mids:MIDS2	skos:narrowMatch	gbif:mediaType	Media Type	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Media	Media	mids:MIDS2	skos:narrowMatch	dwc:associatedMedia	Associated Media	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1289	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
